Fabricante,Descripción,Datos,Precio_£,Ciudad
Vauxhall Corsa,Corsa 1.4i ecoFLEX SRi Hatchback 3dr Petrol Manual Euro 6 (90 ps),"67,450 miles
2017 reg
Manual
Petrol","£5,995",Exeter
Kia Picanto,1,"35,886 miles
2016 reg
Manual
Petrol","£5,995",Sheffield
Skoda Fabia,S,"29,687 miles
2014 reg
Manual
Petrol","£5,995",Peterborough
Fiat 500,Lounge,"61,254 miles
2015 reg
Manual
Petrol","£5,995",Peterborough
Peugeot 108,Active,"68,128 miles
2016 reg
Manual
Petrol","£5,995",Liverpool
Ford B-Max,Zetec,"27,131 miles
2013 reg
Manual
Petrol","£5,995",Bradford
Vauxhall Corsa,Corsa 1.4i ecoTEC Energy Hatchback 3dr Petrol Manual Euro 6 (a/c) (90 ps),"71,989 miles
2018 reg
Manual
Petrol","£5,995",Exeter
Suzuki Celerio,SZ2,"20,814 miles
2017 reg
Manual
Petrol","£5,995",Stockport
SEAT Ibiza,FR Black,"78,568 miles
2015 reg
Manual
Petrol","£5,995",Peterborough
Ford C-Max,Titanium,"53,000 miles
2015 reg
Manual
Diesel","£5,995",Liverpool
Nissan Juke,Visia,"49,506 miles
2015 reg
Manual
Petrol","£5,995",Sheffield
Ford Fiesta,1.0T EcoBoost Zetec S (140 ps),"72,200 miles
2016 reg
Manual
Petrol","£5,995",Nationwide delivery available
Vauxhall ADAM,ADAM 1.4 16v JAM Hatchback 3dr Petrol Manual Euro 5 (87 ps),"42,966 miles
2014 reg
Manual
Petrol","£6,000",Guilford
Hyundai i10,S,"24,339 miles
2014 reg
Manual
Petrol","£6,000",Newcastle
Dacia Sandero,1.0L COMFORT SCE 5D 73 BHP,"66,626 miles
2020 reg
Manual
Petrol","£6,079",Stevenage
Honda Jazz,1.2L I-VTEC S AC 5d 89 BHP,"19,156 miles
2013 reg
Manual
Petrol","£6,100",Watford
Skoda Citigo,1.0 MPI Colour Edition 5dr,"46,470 miles
2016 reg
Manual
Petrol","£6,120",Nationwide delivery available
Audi A1,1.4L TFSI S LINE 3d 122 BHP,"83,791 miles
2012 reg
Manual
Petrol","£6,150",Watford
Ford Fiesta,Titanium,"60,054 miles
2015 reg
Manual
Petrol","£6,190",Halifax
DS DS 4,DS4 ELEGANCE BLUEHDI S/S AUTO,"72,260 miles
2016 reg
Automatic
Diesel","£6,200",Watford
SEAT Ibiza,SE,"60,939 miles
2016 reg
Manual
Petrol","£6,250",Sheffield
Fiat 500,Lounge,"62,374 miles
2017 reg
Manual
Petrol","£6,284",Sheffield
Volkswagen up!,Move up!,"40,173 miles
2015 reg
Manual
Petrol","£6,290",Wigan
Volkswagen up!,High up!,"61,602 miles
2015 reg
Manual
Petrol","£6,295",Halifax
